Correct Response,Orientation,Reaction Time (ms),Target Face,Face Set
1,180.0,522.9672999994364,1,1
1,180.0,612.3001000014483,0,1
1,180.0,560.8686000014131,0,1
1,180.0,600.9110999984841,1,1
1,180.0,533.5621999984141,0,1
1,180.0,582.1744999993825,1,1
1,0.0,460.85840000159806,1,1
1,180.0,552.8613000024052,0,1
1,0.0,519.4880000017292,0,1
1,0.0,416.77310000159196,0,1
1,0.0,502.1033000011812,0,1
1,0.0,527.4405000018305,0,1
1,0.0,464.7532000017236,0,1
1,180.0,492.08090000320226,1,1
1,180.0,542.7464000022155,0,1
1,180.0,575.3691999998409,1,1
1,0.0,470.71019999930286,0,1
1,180.0,650.0725000005332,1,1
1,0.0,556.0347999999067,1,1
1,180.0,486.0078000019712,0,1
1,0.0,519.2783999991661,0,1
1,0.0,447.9544999994687,0,1
1,180.0,563.9766999993299,1,1
1,0.0,491.24769999980344,1,1
1,180.0,524.6134000008169,0,1
1,180.0,554.4995999989624,1,1
1,0.0,458.6237000003166,1,1
1,0.0,454.4712000024447,1,1
1,0.0,402.50899999955436,1,1
1,180.0,632.4569000025804,1,1
1,180.0,605.101500001183,1,1
1,0.0,475.10220000185654,1,1
1,0.0,494.28290000287234,0,1
1,0.0,521.0267000002204,1,1
1,0.0,474.38899999906425,1,1
1,180.0,477.73180000149296,1,1
1,180.0,473.1217000007746,0,1
1,180.0,556.3301000001957,1,1
1,0.0,524.3439999976545,1,1
1,180.0,525.681800001621,1,1
1,0.0,414.93830000035814,1,1
1,180.0,460.3127999980643,0,1
1,0.0,456.2798000006296,1,1
1,0.0,506.94109999676584,0,1
1,180.0,628.8902999986021,0,1
1,0.0,586.2058000020625,0,1
1,180.0,446.24370000019553,0,1
1,180.0,530.8998000000429,1,1
1,180.0,587.6067999997758,1,1
1,180.0,586.2063999993552,0,1
1,180.0,574.1034999991825,1,1
1,0.0,540.7262000007904,0,1
1,180.0,573.4273999987636,1,1
1,180.0,580.6654000007256,1,1
1,0.0,483.3565999979328,0,1
1,0.0,486.03670000011334,1,1
1,0.0,464.8338999977568,0,1
1,180.0,610.682700000325,0,1
1,180.0,551.7450999977882,1,1
1,180.0,527.2873000030813,0,1
1,180.0,527.9639000000316,0,1
1,180.0,521.2925000014366,1,1
1,0.0,514.6486000012374,0,1
1,180.0,531.9453999982215,1,1
1,180.0,515.2430000016466,0,1
1,0.0,522.5773999991361,1,1
1,180.0,501.8705000002228,1,1
1,0.0,438.52870000046096,0,1
1,180.0,595.2225000000908,1,1
1,0.0,481.83179999978165,1,1
1,0.0,515.8406999980798,0,1
1,0.0,525.163700000121,0,1
1,0.0,582.449199999246,1,1
1,180.0,501.19590000031167,1,1
1,0.0,535.1174000024912,1,1
1,0.0,445.41989999925136,0,2
1,0.0,426.08649999965564,0,2
1,180.0,511.60149999850546,1,2
1,0.0,505.35609999860753,1,2
1,180.0,579.3529000002309,1,2
1,0.0,458.6466000000655,1,2
1,180.0,525.9777999999642,0,2
1,0.0,471.351300002425,1,2
1,0.0,402.6566000029561,1,2
1,0.0,440.6111999996938,1,2
1,180.0,468.6696999997366,0,2
1,180.0,463.9060999979847,0,2
1,180.0,523.2579999974405,1,2
1,0.0,483.0574000006891,0,2
1,180.0,509.91269999940414,1,2
1,0.0,494.55110000053537,0,2
1,180.0,472.42809999806923,0,2
1,180.0,539.8788999991666,1,2
1,0.0,467.6303000014741,0,2
1,0.0,517.2219000014593,1,2
0,180.0,464.4613999989815,1,2
1,180.0,499.1260999995575,0,2
1,180.0,501.12889999945764,1,2
1,180.0,455.26130000143894,1,2
1,0.0,449.134900001809,1,2
1,180.0,495.07140000059735,1,2
1,0.0,399.00110000235145,1,2
1,0.0,507.49699999869335,0,2
1,0.0,525.002599999425,0,2
1,0.0,406.2545999986469,0,2
1,0.0,356.2979999987874,1,2
1,180.0,443.6156999981904,0,2
1,180.0,407.72329999890644,0,2
1,0.0,533.6185999985901,1,2
1,0.0,494.2789000015182,1,2
1,0.0,400.92440000080387,1,2
0,180.0,470.8820000014384,1,2
1,180.0,538.1648000002315,1,2
1,180.0,618.8907999967341,1,2
1,0.0,488.0278999989969,0,2
1,180.0,542.6888000001782,0,2
1,180.0,545.536000001448,1,2
1,0.0,473.45619999759947,0,2
1,180.0,532.7930999992532,1,2
1,180.0,540.7871999996132,0,2
1,0.0,421.43620000206283,1,2
1,180.0,466.79799999765237,1,2
1,0.0,549.6759999987262,0,2
1,180.0,557.391500002268,1,2
1,180.0,493.3712000020023,1,2
1,0.0,447.40050000109477,0,2
1,180.0,595.3386000001046,1,2
1,180.0,559.2586999991909,1,2
1,0.0,519.2619999979797,1,2
1,0.0,416.6646999983641,1,2
1,180.0,637.8903000004357,1,2
1,0.0,370.5867999997281,1,2
1,180.0,560.4841999993369,0,2
1,0.0,559.8680000002787,0,2
1,0.0,463.97849999993923,0,2
1,180.0,503.87939999927767,0,2
1,0.0,521.8936999990547,1,2
1,0.0,442.53480000043055,0,2
1,0.0,541.6575999988709,0,2
1,0.0,445.83959999727085,0,2
1,0.0,456.44890000039595,0,2
1,180.0,484.4059999995807,1,2
1,0.0,405.77839999969,0,2
1,0.0,459.0816000018094,0,2
1,0.0,461.76049999849056,0,2
1,0.0,537.0360999986588,0,2
1,180.0,417.7071000012802,1,2
1,180.0,535.0139000001946,1,2
1,0.0,502.4041999968176,0,2
1,180.0,472.38149999975576,1,2
1,180.0,562.3374999995576,0,2
1,180.0,578.3006000019668,1,2
