Correct Response,Orientation,Reaction Time (ms),Target Face,Face Set
1,180.0,399.98930000001565,1,1
1,0.0,414.0027999965241,0,1
1,180.0,435.26639999618055,0,1
1,0.0,455.93629999348195,1,1
1,0.0,459.93060000182595,1,1
1,180.0,495.8952000015415,0,1
1,0.0,530.5603000015253,1,1
1,0.0,466.5785999968648,0,1
1,180.0,453.9163000008557,0,1
1,180.0,489.6279000022332,1,1
1,0.0,548.495200004254,1,1
1,180.0,380.5008999988786,1,1
1,180.0,475.2481999967131,1,1
1,180.0,446.4637999990373,0,1
1,180.0,411.1124999981257,0,1
1,180.0,449.06510000146227,1,1
1,180.0,372.5004000007175,1,1
1,0.0,427.74800000188407,0,1
1,180.0,369.1651000044658,1,1
1,0.0,376.4026000062586,0,1
1,180.0,407.68190000380855,0,1
1,180.0,413.7159000019892,0,1
1,0.0,473.6909999992349,0,1
1,180.0,428.9472999953432,1,1
1,0.0,466.37680000276305,1,1
1,180.0,402.88999999756925,0,1
1,0.0,408.23039999668254,0,1
1,180.0,382.2183000011137,1,1
1,0.0,450.2085999993142,0,1
1,0.0,446.1888000005274,0,1
1,180.0,354.81520000030287,1,1
1,0.0,378.83599999622675,1,1
1,0.0,337.4804999984917,0,1
1,0.0,474.1495999987819,0,1
1,0.0,404.1360999981407,0,1
1,180.0,378.07149999571266,0,1
1,0.0,471.57940000033705,1,1
1,180.0,476.76469999714755,1,1
1,0.0,544.0537000031327,1,1
1,180.0,455.52959999622544,0,1
1,180.0,395.34999999887077,0,1
1,0.0,490.0455000024522,1,1
1,180.0,426.88210000051185,1,1
1,0.0,520.3593000042019,1,1
1,0.0,427.2964000047068,1,1
1,0.0,496.6022000007797,1,1
1,0.0,418.63549999834504,1,1
1,0.0,463.29919999698177,0,1
1,0.0,482.61120000097435,0,1
1,180.0,507.99380000535166,0,1
1,180.0,379.15939999948023,1,1
1,180.0,394.4800000026589,1,1
1,0.0,481.1264000018127,1,1
1,0.0,499.8579000020982,1,1
1,180.0,525.7797000012943,0,1
1,180.0,431.06860000261804,1,1
1,0.0,515.7649000029778,1,1
1,180.0,421.09119999804534,1,1
1,0.0,409.70779999770457,0,1
1,0.0,423.6763000008068,0,1
1,0.0,476.3738999972702,0,1
1,180.0,455.675400000473,0,1
1,0.0,489.78250000072876,1,1
1,0.0,538.3676999990712,1,1
1,0.0,417.6636999982293,0,1
1,180.0,438.99229999806266,1,1
1,0.0,426.9620999984909,0,1
1,180.0,424.28469999867957,0,1
1,0.0,397.56629999465076,1,1
1,0.0,419.6107000025222,1,1
1,180.0,448.23279999400256,0,1
1,0.0,516.2366000004113,1,1
1,180.0,460.85289999609813,0,1
1,0.0,520.8618000033312,1,1
1,0.0,418.22680000041146,1,1
1,0.0,455.09439999295864,1,2
1,180.0,507.12210000347113,0,2
1,0.0,509.11489999998594,0,2
1,180.0,543.0828999960795,0,2
1,0.0,535.0671999985934,0,2
1,0.0,463.77140000549844,0,2
1,180.0,427.03619999520015,1,2
1,180.0,392.5158999991254,1,2
1,0.0,407.01350000017555,0,2
1,0.0,452.9688999973587,0,2
1,0.0,376.96629999845754,0,2
1,180.0,485.6445999976131,1,2
1,180.0,512.2995999990962,0,2
1,0.0,487.7295000042068,0,2
1,0.0,424.25070000172127,0,2
1,0.0,495.58059999981197,1,2
1,0.0,425.5587999941781,0,2
1,180.0,470.92089999932796,0,2
1,180.0,426.3180999987526,0,2
1,180.0,463.5594999999739,1,2
1,180.0,418.86779999913415,1,2
1,180.0,480.2360000030603,0,2
1,0.0,426.9464999961201,0,2
1,0.0,407.50090000074124,0,2
1,0.0,445.49170000391314,1,2
1,0.0,359.3966999978875,1,2
1,0.0,454.69290000619367,0,2
1,0.0,474.6981999996933,1,2
1,180.0,542.0656999995117,1,2
1,180.0,526.0111000025063,0,2
1,180.0,495.22959999740124,0,2
1,180.0,426.01360000116983,0,2
1,0.0,415.3128000034485,1,2
1,180.0,452.00260000274284,0,2
1,0.0,503.93179999809945,1,2
1,180.0,473.91369999968447,1,2
1,180.0,532.6588999960222,0,2
1,0.0,485.2351000008639,1,2
1,0.0,471.92699999868637,1,2
1,0.0,483.39999999734573,1,2
1,0.0,381.8487000025925,1,2
1,180.0,452.6499999992666,1,2
1,0.0,456.5059000015026,0,2
1,180.0,603.857699999935,0,2
1,180.0,481.84279999986757,1,2
1,0.0,444.47780000336934,1,2
1,180.0,425.15540000022156,1,2
1,180.0,430.4324999975506,1,2
1,180.0,371.1087000046973,1,2
1,180.0,402.40600000106497,1,2
1,180.0,461.7333999995026,0,2
1,180.0,593.6877999993158,1,2
1,0.0,520.3102999948896,1,2
1,180.0,449.6166000026278,0,2
1,180.0,397.62319999863394,1,2
1,180.0,395.5952999967849,0,2
1,0.0,410.32339999947,0,2
1,180.0,439.5691000027,0,2
1,0.0,436.21300000086194,1,2
1,180.0,464.8784000019077,1,2
1,0.0,468.2249000034062,1,2
1,180.0,455.4998000021442,0,2
1,0.0,586.8346999995993,0,2
0,180.0,369.5013000033214,0,2
1,180.0,584.8521000007167,0,2
1,180.0,527.451399997517,0,2
1,0.0,496.12229999911506,0,2
1,180.0,458.7803000031272,0,2
1,180.0,398.7508999998681,0,2
1,0.0,572.755999994115,1,2
1,0.0,484.2750000025262,0,2
1,180.0,358.73569999967003,1,2
1,0.0,398.06980000139447,0,2
1,180.0,452.27490000252146,1,2
1,180.0,463.68709999660496,0,2
1,180.0,546.6952999995556,1,2
